Zeitstempel,Participant-ID,Collision,Feedback,What did you like about the presented or missing feedback (feeling when touching/overlapping with the other avatar)?,What did you NOT like about the presented or missing feedback (feeling when touching/overlapping with the other avatar)?,What did you like about the presented or missing collision with the other avatar? ,What did you NOT like about the presented or missing collision with the other avatar? 
2018/08/02 10:25:58 AM OEZ,1,Col_off,FB_on,language,moving through the infos I read,nothing,"sometimes the avatar disturbing me, concentration was lost"
2018/08/02 10:37:36 AM OEZ,1,Col_off,FB_off,nothing,language,nothing,"to close, disturbing me sometimes in doing my things"
2018/08/02 10:54:09 AM OEZ,1,Col_on,FB_on,nothing,disturbing me the whole time,nothing,disturbing me the whole time
2018/08/02 11:13:14 AM OEZ,1,Col_on,FB_off,my behavour  influecenced the other avatar :-),nothing,nothing,nothing
2018/08/02 11:48:47 AM OEZ,2,Col_off,FB_on,i liked the vibration and that the interface became a bit darker so i got the feeling that another person is disturbing me.,i did not like that you have no feedback at your body when another person collides with you. ,the rumble feedback from the controllers and the visual feedback,i did not like that the other avatar was clipping sometimes and you could see trough so that destroyed the feeling of realism a lot.
2018/08/02 12:02:06 PM OEZ,2,Col_off,FB_off,nothing,there was no feedback so i didn't liked it at all,nothing,the feedback. there was no feeling of overlapping
2018/08/02 12:14:27 PM OEZ,2,Col_on,FB_off,i liked the collision with the other people and that you were not able to go through them. felt real,no feedback to your body,i liked the collision with the other people and that you were not able to go through them. felt real. and i liked that i wasn't able to read the text when the other avatar were between me and the text,nothing
2018/08/02 12:26:43 PM OEZ,2,Col_on,FB_on,the sound feedback the visual feedback and the rumble feedback,nothing,i liked that the sound the rumble of the controller and the screen getting darker. that was near to realism to simulate a crash between two people. i really felt disturbed when an avatar ran into me,nothing
2018/08/02 2:39:00 PM OEZ,3,Col_off,FB_on,I like the Scene and the very easy functions. It was easy to learn and easy to walk around in the museum and in the street. The way of presenting the information was very useful and common to the real world. ,Nothing,-,"Because it is a vr collision, you cannot located really at which point you will touch the other person, so nothing harm you. And the viewfield is to small to identify the other person."
2018/08/02 3:00:06 PM OEZ,3,Col_on,FB_on,"I feel attached, little bit moved and would do a step backward or forward","The collision was to hard, the tone too loud and I could not see him coming and leaving me.",nothing,"there is no physical border of the body, which tells you stop."
2018/08/02 3:15:54 PM OEZ,3,Col_off,FB_off,"cannot feel nothing, which is not real.","Cannot see people moving into my direction, so I cannot react spontanously.",Nothing,the viewfield is too small to feel comfortable to read the information while some other customer hits me.
2018/08/02 3:31:06 PM OEZ,3,Col_on,FB_off,"There are no feelings, because the avatar touches me without any push.",nothing,"the collision was alright, I wait till the person leave me again.",
2018/08/02 4:58:00 PM OEZ,4,Col_off,FB_on,None,"The sound was very distracting, especially when repeatedly triggered in contrast to beeing continuous.","I was able to enter the museum, when the entrance was blocked by another person",None
2018/08/02 5:20:41 PM OEZ,4,Col_on,FB_on,The sound was less distracting than the one in the the previous condition,None,None,"The collision hindered me from entering the museum, additionally this placed the other party in the text I was reading in contrast to the no collision condition, where he passed right through, not obstructing my sight on the informations"
2018/08/02 5:44:37 PM OEZ,4,Col_on,FB_off,Least distracting so far,It was a bit too less,None,same as last time
2018/08/02 6:02:14 PM OEZ,4,Col_off,FB_off,The missing feedback allowed me to read more concentrated,None,Movement was more unrestricted ,None
2018/08/07 2:41:12 PM OEZ,5,Col_off,FB_on,"Es war spannend, die Position der anderen Person einzunehmen.",Das Nahekommen zur Person war etwas unangenehm.,"Die Kollision war angenehm, wenn man die andere Position innehatte.",Die Kollision war neu und ungewohnt.
2018/08/07 3:08:32 PM OEZ,5,Col_on,FB_off,Es war angenehmer als beim FB_on.,Der anderen Person ganz nah zu sein.,Nichts.,"Es nervte, den zu lesenden Text drehen zu müssen, um ihn lesen zu können."
2018/08/07 3:26:52 PM OEZ,5,Col_off,FB_off,Es gefällt mir besser ohne Feedback.,Das fehlende Feedback.,Das Beide im Raum bleiben.,Manchmal die Nähe zur anderen Person.
2018/08/07 3:47:42 PM OEZ,5,Col_on,FB_on,Habe ich nicht wirklich wahrgenommen.,s.o.,Nichts.,Es ist gefühlsmäßig unangenehm.
2018/08/08 3:14:49 PM OEZ,6,Col_off,FB_on,the dark (slightly red) light,"the sound was annoying,",i could walk anywhere I like!,-
2018/08/08 3:36:44 PM OEZ,6,Col_on,FB_off,don`t got disturbed,Could figure Out if I was running against a wall (because i left the circle) or was blocked by a person,got only distracted from reading if the person stands in front of me,i was not able to enter the house or some rooms because of the stupid idiot blocking me
2018/08/08 3:58:27 PM OEZ,6,Col_on,FB_on,It was nice that I was able to realize when I touch the other Person. Some times it was quite amusing colliding with the other person and listening to the Sound. ,"The Sound was a bit Lo-Fi, and was quite distracting when I was reading","I only got disturbed from reading when the Personen was in front of me, but now i realized that this was no Problem when I was positioning my self directly in front of a wall.",I was not able to go everywhere I want to!
2018/08/08 4:16:28 PM OEZ,6,Col_off,FB_off,"I did not get distracted😁, only a little bit if the other person stood right in front of me",nothing,I was able to everywhere I like!,"It was a weird feeling, when I stood only half inside the other avatar. "
2018/08/09 4:25:48 PM OEZ,7,Col_off,FB_off,"as there was no feedback for the collisions you sometimes didn't event notice you collided with someone, which didn't interrupt you from what you were doing",-,-,the overlapping avatar sometimes hid the information I was reading
2018/08/09 4:38:17 PM OEZ,7,Col_off,FB_on,it was easier to notice when you were overlapping with the other avatar,the heartbeat-ish sound made me slightly uncomfortable,-,-
2018/08/09 4:50:48 PM OEZ,7,Col_on,FB_on,the other avatar couldn't get too close to me,-,the experience felt a bit more real with the collision,I couldn't pass if the other avatar blocked the way
2018/08/09 5:04:08 PM OEZ,7,Col_on,FB_off,"if someone didn't directly stand in front of me I didn't even notice the collisions, which means I didn't get interrupted in my reading","if you're the person innitiating the collisions it didn't feeld as good, it was harder to notice that you ran into another avatar",not being able to run through someone felt more natural,it was annoying that you couldn't pass other avatars
2018/08/13 2:31:57 PM OEZ,8,Col_off,FB_off,The overlapping was not present and because of that not so much disruptive,without any feedback I did not really recognize the overlapping,It felt like a ghost being there who you could ignore.,I did not really recognize it. Suddenly there were an avatar in front of me and i did not hear him coming. That was very irritating. 
2018/08/13 2:49:44 PM OEZ,8,Col_off,FB_on,The heartbeat when overlapping gave a natural feeling to be near a person,it was very present ,i did not like it,the overlapping did not feel natural and irritated me
2018/08/13 3:13:52 PM OEZ,8,Col_on,FB_off,It was not disruptive.,I did not have a natural feeling. it seems that an dead object collides with me and not a person.  Usually other people make sound like breathing. ,The collision was more natural than the overlapping. ,"The way to navigate is more difficult with other persons in the same room. 
For my personal mood it would have been better to stop the other avatar a little bit earlier, so that he could not come very closely."
2018/08/13 3:30:25 PM OEZ,8,Col_on,FB_on,The sound feedback felt very natural.,The vibration was unnecessary in my opinion. It irritated me because not the controller collided with the other avatar. The vibration should be at the collision point to give a natural feeling.,The collision felt more natural than the overlapping. ,The collision makes it more difficult to navigate. 
2018/08/13 5:19:42 PM OEZ,9,Col_off,FB_off,Es hat nicht genervt.,Eine Art Vibratiom wäre ok gewesen,Keine Einschränkungen im Tun,Teilweise Überlappung der Avatare
2018/08/13 5:33:13 PM OEZ,9,Col_on,FB_on,"Vibration war angenehm, nicht zu nervig",Soundeffekt,Das es ein Feedback gab,Sound war auf dauer nervig
2018/08/13 5:56:52 PM OEZ,9,Col_off,FB_on,Sound war besser als #1,"Die Dauerbeschallung, wenn man im Avatar ""drin"" war",Sound war ok,Intervall des Sounds war zu hoch
2018/08/13 6:21:05 PM OEZ,9,Col_on,FB_off,Ohne Sound war es angenehmer,Das Überlappen der Avatare,Keine nervigen Geräusche,Keine Anmerkung
2018/08/14 12:36:26 PM OEZ,10,Col_off,FB_off,I could not feel other persons touching me.,"There was no haptical feedback, but i didn*t like it when the person came to close and therefor invaded my personal space.",I didn*t like anything about the collisions.,"I didn*t like when the others came between me and the presented objects, and i didn*t like when the other person came to close in front of me."
2018/08/14 12:57:36 PM OEZ,10,Col_on,FB_on,I liked the sound; it notified me that another person is there.,"I did not like the sound and haptical feedback, because it destracted me from my experience.",I didn*t like anything about it.,"I didn*t like that it prevented me from going to some places, and it distracted me from my experience while reading."
2018/08/14 1:21:59 PM OEZ,10,Col_on,FB_off,I liked that it distracted me less from my experience.,It left me with no explanation why interaction happened.,It gave me a feeling of a present person.,It prevented me from going to some places.
2018/08/14 1:45:50 PM OEZ,10,Col_off,FB_on,I liked that i got notified. I think this could be useful if a known person wants to grab my attention.,I didn*t like that that it distracted me from my reading experience.,I liked that I was not stopped going to places.,I liked the missing collision.
2018/08/15 10:24:06 AM OEZ,11,Col_off,FB_off,Don`t know.,Don`t know.,Don`t know.,Don`t know.
2018/08/15 10:38:39 AM OEZ,11,Col_on,FB_off,Don`t know.,Don`t know,Don`t know.,Don`t know.
